barri;poblacion;densidad;poblacion_mas_65;titulados_sup;poblacion_sola;indice_sobreenv;renta_familiar;CODI_DIVISIO_TERRITORIAL;CODI_DIVISIO_TERRITORIAL_PARE;NOM_DIVISIO_TERRITORIAL
B-01;48.263,00;43.864,00;11.3;27.2;31.9;50.7;71.2;B-01;D-01;el Raval
B-02;21.715,00;26.625,00;10.1;32.7;30.2;50.2;106.1;B-02;D-01;el Barri Gòtic
B-03;15.112,00;13.795,00;17.0;30.6;32.8;58.1;79.6;B-03;D-01;la Barceloneta
B-04;23.241,00;20.944,00;13.6;42.1;33.6;53.2;99.4;B-04;D-01;Sant Pere, Santa Caterina i la Ribera
B-05;33.369,00;35.906,00;20.8;40.4;25.3;52.3;106.5;B-05;D-02;el Fort Pienc
B-06;52.245,00;50.147,00;22.2;39.5;27.5;53.5;101.8;B-06;D-02;la Sagrada Família
B-07;44.325,00;20.909,00;21.3;52.8;27.1;54,00;175.9;B-07;D-02;la Dreta de l'Eixample
B-08;43.228,00;35.189,00;20.8;49.7;29,00;54.4;137.2;B-08;D-02;l'Antiga Esquerra de l'Eixample
B-09;58.621,00;43.724,00;23.4;44.9;26.8;51.6;110.2;B-09;D-02;la Nova Esquerra de l'Eixample
B-10;38.906,00;48.384,00;22.0;38.9;28.5;56.4;104.2;B-10;D-02;Sant Antoni
B-11;40.157,00;8.758,00;16.6;29.6;2.6;53.7;82.2;B-11;D-03;el Poble-sec
B-12;1.227,00;87,00;18.1;7.8;31.5;53.2;40,00;B-12;D-03;la Marina del Prat Vermell
B-13;31.352,00;24.714,00;19.9;16.8;25.4;53.8;69.3;B-13;D-03;la Marina de Port
B-14;10.377,00;34.931,00;23.5;31.9;24.9;51.9;82.9;B-14;D-03;la Font de la Guatlla
B-15;16.203,00;39.527,00;19.2;33.6;24.7;48.9;99,00;B-15;D-03;Hostafrancs
B-16;19.567,00;34.195,00;22.4;26.6;23,00;51.3;79,00;B-16;D-03;la Bordeta
B-17;24.938,00;60.151,00;22.0;28.2;23.7;49.3;81,00;B-17;D-03;Sants - Badal
B-18;43.763,00;39.979,00;20.1;33.5;26.9;53.4;99,00;B-18;D-03;Sants
B-19;46.731,00;33.133,00;26.3;45.0;23.7;50.1;120,00;B-19;D-04;les Corts
B-20;23.968,00;12.514,00;26.7;40.4;22.8;51,00;114.2;B-20;D-04;la Maternitat i Sant Ramon
B-21;11.936,00;4.446,00;24.8;52.6;20.8;55.7;248.8;B-21;D-04;Pedralbes
B-22;4.710,00;416,00;15.2;43.1;20.2;47.4;144.1;B-22;D-05;Vallvidrera, el Tibidabo i les Planes
B-23;25.242,00;8.283,00;21.6;51.8;21.3;57.2;193.6;B-23;D-05;Sarrià
B-24;16.617,00;21.089,00;21.5;53.8;21,00;55,00;215.8;B-24;D-05;les Tres Torres
B-25;26.245,00;11.750,00;21.9;51.7;23.5;55.7;184.6;B-25;D-05;Sant Gervasi - la Bonanova
B-26;47.915,00;28.705,00;22.1;53.3;27.4;56.7;192.1;B-26;D-05;Sant Gervasi - Galvany
B-27;30.428,00;35.888,00;21.1;51.6;28.1;51.4;144.6;B-27;D-05;el Putxet i el Farró
B-28;16.147,00;12.908,00;22.6;42.0;25.8;54.1;112.5;B-28;D-06;Vallcarca i els Penitents
B-29;7.617,00;21.564,00;20.5;32.3;26.3;51.7;87,00;B-29;D-06;el Coll
B-30;13.478,00;20.787,00;24.8;42.1;25.4;51.1;109.9;B-30;D-06;la Salut
B-31;50.926,00;38.546,00;19.0;47.5;30.8;55.1;104.4;B-31;D-06;la Vila de Gràcia
B-32;35.483,00;54.545,00;23.6;42.7;27,00;51.4;105.7;B-32;D-06;el Camp d'en Grassot i Gràcia Nova
B-33;26.180,00;46.545,00;24.8;34.3;24.9;58.3;92,00;B-33;D-07;el Baix Guinardó
B-34;9.331,00;24.288,00;21.9;29.8;25.5;52.5;83.3;B-34;D-07;Can Baró
